what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463638367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463808432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463812550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463816942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463818104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463852302
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385463855461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463859676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463876309
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463876882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463876954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385463882018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463884999
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1385463885085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463886445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463897084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385463964132
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1385463964221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464038564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464043639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464044166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464045144
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464054437
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464054554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464068125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464082555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464084911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464085495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464085928
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385464090442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464102096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464102224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464104133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464418469
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464419247
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464420653
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464420654
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464425563
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464425563
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464426417
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385464436044
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464442364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385464450523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464452320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464453407
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464462985
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464463079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464490106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1385464491207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385464491495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464493841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464515760
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385464517538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464530446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464545248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464550135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464552245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464557653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464573787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464574834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464578120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464650899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385464678987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473814420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473896453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473896568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473896630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473896630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473896646
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1385473896958
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1385473897021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473928336
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385473928351
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385473928711
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1385473929601
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1385473929617
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1385473929632
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1385495949448
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1385495949452
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1385495949454
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1385495949456
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1385495949458
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1385495949459
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1385495949462
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1385495949464
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1385495949466
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1385495949477
