what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727582083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727583783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385727599613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727606397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727609052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727609620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727612446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727621461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727622048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385727629442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385727632731
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1385727637889
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1385727644996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727645472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727645674
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1385727687223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385727689704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385727689846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385727690003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385727690356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385727706918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385727708065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385727708385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385727756176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727840079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385727956792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385727990262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385727991045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385727991305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385728108741
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1385728615230
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1385728636072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385728636499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385728636723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385728648730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385728650316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385728650590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385728650861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385728693316
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1385728699121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385728701483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385728752806
