what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180224479
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1381180224491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180231151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180435940
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1381180438091
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1381180438097
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1381180438544
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381180443160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180452974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180517609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180522337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180524240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180534123
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1381180535978
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381180535988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180536060
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1381180536064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381180536064
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1381180547717
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1381180547756
opened,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1381180548012
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1381180548040
activated,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1381180549347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.helpSearch",1381180549447
error,log,,,"Help documentation could not be indexed completely.",1381180561976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180568590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180672746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180674452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180684641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381180733718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381181009402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381181010980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381181118986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381181135436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381181137632
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381181137733
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1381181138264
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1381181138266
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1381181138267
