what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385755837583
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1385755838049
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385755838262
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385755840360
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385755845530
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385755845530
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385755846822
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385755846960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385755858039
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385755858039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385755858900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756150799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385756162096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756183933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756184538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756187780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756305386
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385756307239
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1385756311673
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1385756315298
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1385756315372
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1385756317972
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1385756317990
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1385756318081
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1385756318083
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1385756318931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756336920
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1385756349780
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1385756350105
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1385756350432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756456532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1385756456568
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1385756457214
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385756457515
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385756457751
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385756459502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756462270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756658835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385756673857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757487525
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757491008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757496517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757504616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385757509412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385757519607
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385757525183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757528710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757550521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1385757550567
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757551235
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757551364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757551695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757553416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757553838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757560305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385757564944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757571644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757580641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385757586625
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1385757590496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385757596185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385757600622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757603928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757626931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1385757626956
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757627492
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757627596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757628324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757633897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385757636534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385757637659
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385757640360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757643940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757672684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1385757672708
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757673233
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757673344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757675347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757675666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757676209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385757685702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385757687527
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1385757689320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385757690959
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757693390
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385757693390
